District,Selling_Price_Avg,NumberOfUnits,Square_Footage_Avg,Selling_Price_Sum,Selling_Price_Sum000,Year
1,1718039.60,267,1869.839662,458716572,458.7,2017
2,1389741.11,418,1610.202073,580911785,580.9,2017
3,1115616.09,187,1488.822222,208620208,208.6,2017
4,1601960.23,334,1773.250836,535054716,535.1,2017
5,1858581.22,701,1698.878505,1302865433,1302.9,2017
6,1386719.83,322,1361.748148,446523784,446.5,2017
7,2730834.87,384,2015.698305,1048640589,1048.6,2017
8,1473147.12,482,1228.578283,710056910,710.1,2017
9,1279267.15,1228,1228.688525,1570940059,1570.9,2017
10,927236.29,565,1392.669202,523888504,523.9,2017