District,NumberOfUnits2017,Selling_Price_Sum2017,Selling_Price_Avg2017M,Selling_Price_Avg2017,Selling_Price_Avg2016M,Selling_Price_Avg2016,Selling_Price_Avg2015M,Selling_Price_Avg2015,Avg_Sq_Feet2015,Avg_Sq_Feet2016,Avg_Sq_Feet2017
1,267,458716572,1718039.60,1718.04,1718501.16,1718.501157,1581394.71,1581.39,1855.314685,1919.787986,1869.839662
2,418,580911785,1389741.11,1389.74,1245945.74,1245.945743,1211435.64,1211.44,1637.449495,1594.669231,1610.202073
3,187,208620208,1115616.09,1115.62,1026326.37,1026.326367,992675.48,992.68,1557.338164,1504.80531,1488.822222
4,334,535054716,1601960.23,1601.96,1482667.33,1482.667325,1512106.09,1512.11,1975.059006,1849.375,1773.250836
5,701,1302865433,1858581.22,1858.58,1773489.99,1773.489995,1684133.77,1684.13,1622.003604,1729.273369,1698.878505
6,322,446523784,1386719.83,1386.72,1233941.30,1233.9413,1347095.39,1347.10,1495.285156,1229.277397,1361.748148
7,384,1048640589,2730834.87,2730.83,2755384.78,2755.384784,2837784.65,2837.78,2096.594378,2084.066265,2015.698305
8,482,710056910,1473147.12,1473.15,1411773.48,1411.77348,1410918.09,1410.92,1231.28125,1173.408521,1228.578283
9,1228,1570940059,1279267.15,1279.27,1228496.54,1228.496537,1255525.44,1255.53,1219.017595,1197.660321,1228.688525
10,565,523888504,927236.29,927.24,829636.56,829.636563,797652.93,797.65,1379.023392,1374.222958,1392.669202